lga_id,lga_name,cluster_id,cluster_name,proportion
25990,Pyrenees (S),3,South Metro,0.0277
25990,Pyrenees (S),4,West Metro,0.0481
25990,Pyrenees (S),5,Barwon South West,0.0183
25990,Pyrenees (S),6,Gippsland,0.0011
25990,Pyrenees (S),7,Grampians,0.8524
25990,Pyrenees (S),9,Loddon Mallee,0.0133
26080,Queenscliffe (B),1,North Metro,0.0421
26080,Queenscliffe (B),2,South & East Metro,0.0065
26080,Queenscliffe (B),3,South Metro,0.0178
26080,Queenscliffe (B),4,West Metro,0.0535
26080,Queenscliffe (B),5,Barwon South West,0.8784
26080,Queenscliffe (B),9,Loddon Mallee,0.0016
26170,South Gippsland (S),1,North Metro,0.0284
26170,South Gippsland (S),2,South & East Metro,0.1099
26170,South Gippsland (S),3,South Metro,0.0663
26170,South Gippsland (S),4,West Metro,0.0346
26170,South Gippsland (S),5,Barwon South West,0.0015
26170,South Gippsland (S),6,Gippsland,0.7578
26170,South Gippsland (S),7,Grampians,0.0003
26170,South Gippsland (S),8,Hume,0.0006
26170,South Gippsland (S),9,Loddon Mallee,0.0006
26260,Southern Grampians (S),1,North Metro,0.013
26260,Southern Grampians (S),2,South & East Metro,0.0025
26260,Southern Grampians (S),3,South Metro,0.0069
26260,Southern Grampians (S),4,West Metro,0.0351
26260,Southern Grampians (S),5,Barwon South West,0.9196
26260,Southern Grampians (S),7,Grampians,0.0222
26260,Southern Grampians (S),9,Loddon Mallee,0.0008
26350,Stonnington (C),1,North Metro,0.0485
26350,Stonnington (C),2,South & East Metro,0.1284
26350,Stonnington (C),3,South Metro,0.6762
26350,Stonnington (C),4,West Metro,0.1418
26350,Stonnington (C),5,Barwon South West,0.0025
26350,Stonnington (C),6,Gippsland,0.0009
26350,Stonnington (C),7,Grampians,0.0006
26350,Stonnington (C),8,Hume,0.0007
26350,Stonnington (C),9,Loddon Mallee,0.0004
26430,Strathbogie (S),1,North Metro,0.1168
26430,Strathbogie (S),2,South & East Metro,0.0068
26430,Strathbogie (S),3,South Metro,0.0271
